2004	10	05	16.94	Vonage	JB	CT
2004	10	22	137	Nipsco	JB	CT
2004	10	25	28.62	City	CT	JB
2004	11	00	46	AEP	JB	CT
2004	11	00	59.39	CT	JB
2004	11	01	600	RENT	JB	CT
2004	11	05	17.96	Vonage	JB	CT
2004	11	22	33.17	City	CT	JB
2004	11	24	137	Nipsco	JB	CT
2004	12	01	600	RENT	JB	CT
2004	12	05	50.50	Vonage	CT	JB	TB
2004	12	17	46	AEP	JB	CT
2004	12	22	42.78	City	CT	JB	TB
2004	12	24	137	Nipsco	JB	CT	TB
2004	12	27	59.39	Comcast	JB	CT	TB
2005	01	00	14.99	Vonage	JB	TB	CT
2005	01	01	600	RENT	JB	TB	CT
2005	01	20	46	AEP	JB	CT	TB
2005	01	21	137	Nipsco	JB	CT	TB
2005	01	26	59.39	Comcast	JB	TB	CT
2005	01	27	49.52	City	JB	CT	TB
2005	02	01	600	RENT	JB	CT	TB
2005	02	05	16.94	Vonage	JB	CT	TB
2005	02	10	50	City	JB	CT	TB
2005	02	18	46	AEP	JB	CT	TB
2005	03	01	600	RENT	JB	TB	CT
